Reaction ID	Reaction Name	Enzyme comission number	Ferredoxin oxidizing	UniProt ID	UniProt name	
FNOR	Ferredoxin---NADP+ reductase	1.18.1.2		P28861	Flavodoxin/ferredoxin--NADP reductase (EC 1.18.1.2) (EC 1.19.1.1) (Ferredoxin (flavodoxin):NADP(+) oxidoreductase) (Ferredoxin--NADP reductase) (FNR) (Flavodoxin--NADP reductase) (FLDR) (Methyl viologen resistance protein A) (dA1)	
ACALD	Acetaldehyde dehydrogenase (acetylating)	1.2.1.10		P77580	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])	
PDH	Pyruvate dehdyrogenase	1.2.1.104		P0A9P0	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes) (Glycine cleavage system L protein)	
PDH	Pyruvate dehdyrogenase	1.2.1.104		P0AFG8	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	
PDH	Pyruvate dehdyrogenase	1.2.1.104		P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	
AKGDc	2-Oxoglutarate dehydrogenase	1.2.1.105		P0AFG3	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	 
AKGDc	2-Oxoglutarate dehydrogenase	1.2.1.105		P0AFG6	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	
AKGDc	2-Oxoglutarate dehydrogenase	1.2.1.105		P0A9P0	Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes) (Glycine cleavage system L protein)	
GAPD	Glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12		P0A9B2	Glyceraldehyde-3-phosphate dehydrogenase A (GAPDH-A) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	
LCADi	Lactaldehyde dehydrogenase	1.2.1.22		P25553	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)	
SSALx	Succinate-semialdehyde dehydrogenase (NAD)	1.2.1.24 or 1.2.1.16 or 1.2.1.79		P76149	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad (SSADH) (SSDH) (EC 1.2.1.16)	
ALDD2x	"Aldehyde dehydrogenase (acetaldehyde, NAD)"	1.2.1.3		P77445	Acetaldehyde dehydrogenase (acetylating) EutE (EC 1.2.1.10) (Ethanolamine utilization protein EutE)	
ALDD1	Aldehyde dehydrogenase formaldehyde NAD	1.2.1.46		P46154	Glutathione-independent formaldehyde dehydrogenase (FALDH) (FDH) (EC 1.2.1.46) (Formaldehyde dismutase) (EC 1.2.98.1)	
SSALy	Succinate-semialdehyde dehydrogenase (NADP)	1.2.1.76 or 1.2.1.16 or 1.2.1.79		P25526	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD (SSDH) (EC 1.2.1.79) (Glutarate-semialdehyde dehydrogenase) (EC 1.2.1.-)	
PFOR	*Pyruvate flavodoxin oxidoreductase	1.2.7.1		P94692	Pyruvate:ferredoxin oxidoreductase (PFOR) (POR) (EC 1.2.7.1) (Pyruvate synthase)	
OORr	2-oxoglutarate ferredoxin oxidoreductase	1.2.7.3	Yes	O53181	2-oxoglutarate oxidoreductase subunit KorB (EC 1.2.7.3) (Alpha-ketoglutarate oxidoreductase subunit beta) (KG oxidoreductase subunit beta) (KGO subunit beta) (KOR subunit beta)	
OORr	2-oxoglutarate ferredoxin oxidoreductase	1.2.7.3	Yes	O53182	2-oxoglutarate oxidoreductase subunit KorA (EC 1.2.7.3) (Alpha-ketoglutarate oxidoreductase subunit alpha/gamma) (KG oxidoreductase subunit alpha/gamma) (KGO subunit alpha/gamma) (KOR subunit alpha/gamma)	
CODH4	Carbon monoxide dehydrogenase / acetyl-CoA synthase 2	1.2.7.4		P31896	Carbon monoxide dehydrogenase (CODH) (EC 1.2.7.4)	
EB-iLDH-D	Electron bifurcating lactate dehydrogenase	1.3.1.110	Yes	A0A6L5GPD6	Electron transfer flavoprotein subunit beta/FixA family protein	
EB-iLDH-D	Electron bifurcating lactate dehydrogenase	1.3.1.110	Yes	A0A6L5GQN4	Electron transfer flavoprotein subunit alpha/FixB family protein	
EB-iLDH-D	Electron bifurcating lactate dehydrogenase	1.3.1.110	Yes	A0A6L5GQT1	FAD-binding oxidoreductase	
ACR	Acryloyl-CoA reductase	1.3.1.95		P26646	Probable acrylyl-CoA reductase AcuI (EC 1.3.1.84) (Acryloyl-coenzyme A reductase AcuI)	
SUCD1	Succinate dehydrogenase	1.3.5.1 or 1.3.5.4		P0AC41	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	
SUCD1	Succinate dehydrogenase	1.3.5.1 or 1.3.5.4		P07014	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	
SUCD1	Succinate dehydrogenase	1.3.5.1 or 1.3.5.4		P69054	Succinate dehydrogenase cytochrome b556 subunit (Cytochrome b-556)	
SUCD1	Succinate dehydrogenase	1.3.5.1 or 1.3.5.4		P0AC44	Succinate dehydrogenase hydrophobic membrane anchor subunit	
ACOAD1	Acyl-CoA dehydrogenase (butanoyl-CoA)	1.3.8.7		A0A6N7J2R9	Acyl-CoA dehydrogenase	
ACOAD2	Acyl-CoA dehydrogenase (hexanoyl-CoA)	1.3.8.8		A0A6N7J2R9	Acyl-CoA dehydrogenase	
ACOAD3	Acyl-CoA dehydrogenase (octanoyl-CoA)	1.3.8.8		A0A6N7J2R9	Acyl-CoA dehydrogenase	
VCOAD	Acyl-CoA dehydrogenase (pentanoyl-CoA)	1.3.8.8		A0A6N7J2R9	Acyl-CoA dehydrogenase	
VCOAD2	Acyl-CoA dehydrogenase (heptanoyl-CoA)	1.3.8.8		A0A6N7J2R9	Acyl-CoA dehydrogenase	
MTHFR2	"5,10-methylenetetrahydrofolate reductase (NADH)"	1.5.1.20		P0AEZ1	"5,10-methylenetetrahydrofolate reductase (EC 1.5.1.20)"	
FMNRy_1	FMN reductase NADPH dependent	1.5.1.39		P80644	FMN reductase (NADPH) (EC 1.5.1.38) (FMN reductase) (Sulfate starvation-induced protein 4) (SSI4)	
FMNRx	FMN reductase	1.5.1.42		P75893	FMN reductase (NADH) RutF (EC 1.5.1.42) (FMN reductase) (NADH-flavin reductase RutF) (NADH:flavin oxidoreductase)	
MTHFD	Methylenetetrahydrofolate dehydrogenase (NADP)	1.5.1.5		P24186	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	
THD2	NAD(P) transhydrogenase	1.6.1.3 or 1.6.1.2		P27306	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	
METR	Methyltetrahydrofolate:corrinoid/iron-sulfur protein methyltransferase (MeTr)	2.1.1.258		Q46389	5-methyltetrahydrofolate:corrinoid/iron-sulfur protein co-methyltransferase (EC 2.1.1.258) (5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase) (MeTr)	
MCC	Methylmalonyl-CoA Carboxyltransferase	2.1.3.1		P02904	"Methylmalonyl-CoA carboxyltransferase 1.3S subunit (EC 2.1.3.1) (Biotin carboxyl carrier protein of transcarboxylase) (Transcarboxylase, 1.3S subunit)"	
MCC	Methylmalonyl-CoA Carboxyltransferase	2.1.3.1		Q70AC7	Methylmalonyl-CoA carboxyltransferase 5S subunit (EC 2.1.3.1) (Transcarboxylase 5S subunit)	
MCC	Methylmalonyl-CoA Carboxyltransferase	2.1.3.1		Q8GBW6	Methylmalonyl-CoA carboxyltransferase 12S subunit (EC 2.1.3.1) (Transcarboxylase 12S subunit)	
TKT1	Transketolase 1	2.2.1.1		P27302	Transketolase 1 (TK 1) (EC 2.2.1.1)	
TKT2	Transketolase 2	2.2.1.1		P33570	Transketolase 2 (TK 2) (EC 2.2.1.1)	
TALA	Transaldolase	2.2.1.2		P0A867	Transaldolase A (EC 2.2.1.2)	
ACACT3	Hexanoyl-CoA:acetyl-CoA C-acyltransferase	2.3.1.16		A0A6N7J2P1	Acetyl-CoA C-acetyltransferase	
VCACT	Acetyl-CoA C-acyltransferase (3-oxovaleryl-CoA)	2.3.1.16		A0A6N7J2P1	Acetyl-CoA C-acetyltransferase	
*ACSWL	Acetyl-CoA synthase	2.3.1.169		P27550	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	
PFL	Pyruvate formate lyase	2.3.1.54		P09373	Formate acetyltransferase 1 (EC 2.3.1.54) (Pyruvate formate-lyase 1)	
PTAr	Phosphotransacetylase	2.3.1.8		P0A9M8	Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase)	
ACACT1r	Acetyl-CoA C-acetyltransferase	2.3.1.9		A0A6N7J2P1	Acetyl-CoA C-acetyltransferase	
ACACT2	Butanoyl-CoA:acetyl-CoA C-butanoyltransferase	2.3.1.9 or 2.3.1.16		A0A6N7J2P1	Acetyl-CoA C-acetyltransferase	
VCACT2	Acetyl-CoA C-acyltransferase (3-oxoheptanoyl-CoA)	2.3.1.9 or 2.3.1.16		A0A6N7J2P1	Acetyl-CoA C-acetyltransferase	
CS	Citrate synthase	2.3.3.1		P0ABH7	Citrate synthase (EC 2.3.3.16)	
ACITL	ATP Citrate Lyase	2.3.3.8		P69330	Citrate lyase acyl carrier protein (Citrate lyase gamma chain)	
ACITL	ATP Citrate Lyase	2.3.3.8		P75726	Citrate lyase alpha chain (Citrase alpha chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit) (EC 2.8.3.10)	
ACITL	ATP Citrate Lyase	2.3.3.8		P0A9I1	Citrate lyase subunit beta (Citrase beta chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase subunit beta) (Citryl-CoA lyase subunit) (EC 4.1.3.34)	
HAO_MALS	Malate synthase	2.3.3.9		P08997	Malate synthase A (MSA) (EC 2.3.3.9)	
ASPTA	Aspartate transaminase	2.6.1.1		P00509	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	
GLUK	Glucokinase	2.7.1.2		P0A6V8	Glucokinase (EC 2.7.1.2) (Glucose kinase)	
PPGPT	Phosphoenolpyruvate:glycerone phosphotransferase	2.7.1.121		P76015	"PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK (EC 2.7.1.121)"	
PPGPT	Phosphoenolpyruvate:glycerone phosphotransferase	2.7.1.121		P76014	"PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL (EC 2.7.1.121)"	
DHAPT	Dihydroxyacetone phosphotransferase	2.7.1.121		P37349	"PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM (EC 2.7.1.121) (Dihydroxyacetone kinase subunit M)"	
PPGPT	Phosphoenolpyruvate:glycerone phosphotransferase	2.7.1.121		P37349	"PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM (EC 2.7.1.121) (Dihydroxyacetone kinase subunit M)"	
T6PK	Tagatose-6-phosphate kinase	2.7.1.144		P9WID7	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphofructokinase A) (Phosphohexokinase) (Tagatose-6-phosphate kinase) (EC 2.7.1.144)	
T6PK	Tagatose-6-phosphate kinase	2.7.1.144		P06999	ATP-dependent 6-phosphofructokinase isozyme 2 (ATP-PFK 2) (Phosphofructokinase 2) (EC 2.7.1.11) (6-phosphofructokinase isozyme II) (Phosphohexokinase 2)	
DRBK	Deoxyribokinase	2.7.1.15		P0A9J6	Ribokinase (RK) (EC 2.7.1.15)	
RBK	Ribokinase	2.7.1.15		P0A9J6	Ribokinase (RK) (EC 2.7.1.15)	
XYLK	Xylulokinase	2.7.1.17		P09099	Xylulose kinase (XK) (Xylulokinase) (EC 2.7.1.17) (1-deoxy-D-xylulokinase) (EC 2.7.1.-)	
NADK	NAD kinase	2.7.1.23		P0A7B3	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	
DHAK	Dihydroxyacetone kinase	2.7.1.29		P76015	"PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK (EC 2.7.1.121)"	
DHAK	Dihydroxyacetone kinase	2.7.1.29		P76014	"PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL (EC 2.7.1.121)"	
GLYK	Glycerol kinase	2.7.1.30		P0A6F3	Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)	
PYK	Pyruvate kinase	2.7.1.40		P0AD61	Pyruvate kinase I (EC 2.7.1.40) (PK-1)	
GALK2	Galactokinase	2.7.1.6		P0A6T3	Galactokinase (EC 2.7.1.6) (Galactose kinase)	
PFK	Phosphofructokinase	2.7.1.90		P0A796	ATP-dependent 6-phosphofructokinase isozyme 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (6-phosphofructokinase isozyme I) (Phosphohexokinase 1) (Sedoheptulose-7-phosphate kinase)	
ACKr	Acetate kinase	2.7.2.1		P0A6A3	Acetate kinase (EC 2.7.2.1) (Acetokinase)	
PGK	Phosphoglycerate kinase	2.7.2.3		P0A799	Phosphoglycerate kinase (EC 2.7.2.3)	
GLCpts	D-glucose transport via PEP:Pyr PTS	2.7.3.9 and 2.7.1.199		P69783	PTS system glucose-specific EIIA component (EIIA-Glc) (EIII-Glc) (Glucose-specific phosphotransferase enzyme IIA component)	
GLCpts	D-glucose transport via PEP:Pyr PTS	2.7.3.9 and 2.7.1.199		P69786	PTS system glucose-specific EIICB component (EIICB-Glc) (EII-Glc) [Includes: Glucose permease IIC component (PTS system glucose-specific EIIC component); Glucose-specific phosphotransferase enzyme IIB component (EC 2.7.1.199) (PTS system glucose-specific EIIB component)]	
ADK1	Adenylate kinase	2.7.4.3		P69441	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	
UGLT	UDPglucose--hexose-1-phosphate uridylyltransferase	2.7.7.12		P09148	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	
PPS	Phosphoenolpyruvate synthase	2.7.9.2		P23538	"Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)"	
PCT	Propionate CoA Transferase	2.8.3.1		B3EY95	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18) (Succinyl-coenzyme A (CoA):acetate CoA-transferase) (SCACT)	
SUCOAACTr	Succinyl-CoA:acetate CoA transferase	2.8.3.18		B3EY95	Succinyl-CoA:acetate CoA-transferase (EC 2.8.3.18) (Succinyl-coenzyme A (CoA):acetate CoA-transferase) (SCACT)	
PPCSCT	Propanoyl-CoA: succinate CoA-transferase	2.8.3.27		P52043	Propionyl-CoA:succinate CoA transferase (EC 2.8.3.-)	
CoATC4	*CoA Transferase (C4:0-C2:0)	2.8.3.8		A0A6N7J161	Butyryl-CoA:acetate CoA-transferase (Butyryl-CoA CoA-transferase) (EC 2.8.3.-)	
CoATC5	*CoA Transferase (C5:0-C2:0)	2.8.3.8		A0A6N7J161	Butyryl-CoA:acetate CoA-transferase (Butyryl-CoA CoA-transferase) (EC 2.8.3.-)	
CoATC6	*CoA Transferase (C6:0-C2:0)	2.8.3.8		A0A6N7J161	Butyryl-CoA:acetate CoA-transferase (Butyryl-CoA CoA-transferase) (EC 2.8.3.-)	
CoATC7	*CoA Transferase (C7:0-C2:0)	2.8.3.8		A0A6N7J161	Butyryl-CoA:acetate CoA-transferase (Butyryl-CoA CoA-transferase) (EC 2.8.3.-)	
CoATC8	CoA Transferase (C8:0-C2:0)	2.8.3.8		A0A6N7J161	Butyryl-CoA:acetate CoA-transferase (Butyryl-CoA CoA-transferase) (EC 2.8.3.-)	
ACH-C6	*Acyl-CoA Hydrolase (C6:0)	3.1.2.20		P0A8Z0	Acyl-CoA thioester hydrolase YciA (EC 3.1.2.-) (Protein P14)	
ACH-C7	*Acyl-CoA Hydrolase (C7:0)	3.1.2.20		P0A8Z0	Acyl-CoA thioester hydrolase YciA (EC 3.1.2.-) (Protein P14)	
ACH-C8	*Acyl-CoA Hydrolase (C8:0)	3.1.2.20		P0A8Z0	Acyl-CoA thioester hydrolase YciA (EC 3.1.2.-) (Protein P14)	
ACHC4	*Acyl-CoA Hydrolase (C4:0)	3.1.2.20		P0A8Z0	Acyl-CoA thioester hydrolase YciA (EC 3.1.2.-) (Protein P14)	
ACHC5	*Acyl-CoA Hydrolase (C5:0)	3.1.2.20		P0A8Z0	Acyl-CoA thioester hydrolase YciA (EC 3.1.2.-) (Protein P14)	
GLYOX	Hydroxyacylglutathione hydrolase	3.1.2.6		P0AC84	Hydroxyacylglutathione hydrolase GloB (EC 3.1.2.6) (Glyoxalase II) (Glx II)	
GLYOX	Hydroxyacylglutathione hydrolase	3.1.2.6		P75849	Hydroxyacylglutathione hydrolase GloC (EC 3.1.2.6) (Accessory type II glyoxalase) (Glyoxalase II 2) (GlxII-2)	
FBP	Fructose-bisphosphatase	3.1.3.11		P0A993	"Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)"	
LACZ	B-galactosidase	3.2.1.108 or 3.2.1.23		P00722	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	
6PGALSZ	6-phospho-beta-galactosidase	3.2.1.85		C7N8L9	6-phospho-beta-galactosidase (EC 3.2.1.85) (Beta-D-phosphogalactoside galactohydrolase) (PGALase) (P-beta-Gal) (PBG)	
